dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
494Ic+,3.3748110531970275e-07,,0.915620688991837,,0
497Ic-,1.3900968240619326e-07,,0.9055878112490986,,0
498Ic-,1.059994855302725e-07,,0.45143370574267616,,0
499Ic+,9.200874656569947e-07,,0.13737785300791416,,0
499Ic-,7.026423763119741e-06,,0.3038640049978212,,0
498Ic+,7.37630983344929e-08,,0.48225331028361706,,0
500Ic+,1.2120543703347226e-07,,0.8875567754860099,,0
500Ic-,1.2712583403026036e-07,,0.9092041884894317,,0
501Ic-,1.38779027717639e-07,,0.3270488409511566,,0
501Ic+,1.4474446577140602e-07,,0.3811437538334247,,0
502Ic-,2.7792534418822284e-07,,0.9055272564755196,,0
502Ic+,2.5506354288102977e-07,,0.8931437591065454,,0
503Ic+,1.9141523653207376e-07,,0.3063351367363275,,0
503Ic-,4.2183969029217074e-08,,0.08559975360460126,,0
504Ic-,4.8644674567284585e-08,,0.07493657608374005,,0
504Ic+,8.773185073705076e-07,,0.018371946105987136,,0
505Ic-,9.137344510952945e-08,,0.24029370177952114,,0
505Ic+,1.4724451642551265e-07,,0.415281138529753,,0
506Ic-,4.291209583513838e-08,,0.8564236926982982,,0
507Ic+,1.0447209998436875e-07,,0.3261810658534803,,0
507Ic-,7.377383753826842e-08,,0.20423907587663137,,0
506Ic+,4.5316449845527486e-08,,0.8417041051614995,,0
508Ic+,9.731588248840843e-08,,0.8645016308075057,,0
508Ic-,9.521479283394452e-08,,0.8736385906504829,,0
510Ic+,3.2055638567640633e-07,,0.5246745362397117,,0
510Ic-,1.238844860220262e-07,,0.31983757532966206,,0
511Ic-,4.519377655359914e-07,,0.9609882260628201,,0
65Ic+,3.9245998650385376e-05,,0.7545430273482316,,0
65Ic-,4.3883274730164155e-05,,0.5502635975575187,,0
511Ic+,4.6630581104042327e-07,,0.9575379396498434,,0
66Ic-,4.480002368759698e-05,,0.6393012414472146,,0
67Ic+,6.138792529311799e-05,,0.8483073856939954,,0
67Ic-,4.1416420698471485e-06,,0.08613965398108592,,0
66Ic+,1.1064815307440224e-05,,0.3004305407732617,,0
69Ic-,6.633194536352406e-05,,0.6146029589722186,,0
68Ic,3.0310155208204764e-05,,0.5135783194967647,,0
71Ic-,2.3476826677138e-05,,0.4175215023467427,,0
72Ic-,2.8606396098363203e-06,,0.5285574659132265,,0
73Ic-,0.00012015410093295012,,0.12357638462118992,,0
70Ic-,6.194499748430123e-06,,0.47387529097867287,,0
75Ic-,3.1654135225425614e-06,,0.9175122515206777,,0
77Ic-,6.783742547968281e-05,,0.9232425870445935,,0
76Ic-,2.8243565641567744e-06,,0.9320560017254099,,0
79Ic,3.366639135982748e-05,,0.9553818242724146,,0
83Ic,2.9768410537811814e-06,,0.8701692337587392,,0
84Ic,9.091936583080388e-05,,0.06206591805402406,,0
86Ic,4.193805816073111e-06,,0.9324892651247145,,0
88Ic-,2.55193106077539e-06,,0.9047033074753756,,0
89Ic-,3.0827918430329726e-06,,0.3416362870859664,,0
90Ic,1.173558908599739e-11,,0.349390639275441,,0
87Ic,2.7730428521679467e-06,,0.8877866681057955,,0
93Ic-,1.1611872869596733e-08,,0.5747558057588626,,0
93Ic,6.939393757796114e-05,,0.772155248228425,,0
94Ic,9.371449844112761e-05,,0.9391693585152289,,0
95Ic,1.0554339606931982e-05,,0.5376386413906151,,0
96Ic,1.2750035981071772e-05,,0.4629443715332182,,0
93Ic+,1.2235855678692428e-08,,0.452035998312332,,0
98Ic-,1.1196369690798872e-05,,0.320737901665733,,0
99Ic,0.003656008214559505,,0.4936209929797827,,0
97Ic-,1.1479713939182399e-05,,0.4109587955575883,,0
kay164Ic-,3.590335351957958e-07,,0.8827643289826702,,0
kay164Ic+,5.626982511005633e-07,,0.8680668473698744,,0
