dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
190Ic,True,5.4393924997845625e-06,-2.554486291188165,160709.38361460686,4.111951541743073e-22,-0.11268086318243624,5.6836075213671685e-05,0.943993060830849,0.940761891263398,1.0166851642447719e-06,8.380820474272138e-07,8.988126359304465e-11,1.016685164244772,,
191Ic,True,3.0790956286541616e-07,-1.5962091017801041,222071.19586562534,0.8771788722012632,0.054818896015897914,0.00010216793830969336,0.11188371948291398,0.06064624176077438,2.656432877500331e-06,2.298632455519796e-06,-2.4723958536932776e-07,1.3282164387501465,,
193Ic,True,9.130484071748922e-07,-0.9978661980438789,168716.45547054318,0.892281498284958,-0.05356873388884162,1.8403126561227484e-05,0.5646754127617979,0.5395605327288248,1.1323094610857513e-06,9.809068902004857e-07,1.8724153158886466e-10,0.6597913209782338,,
192Ic,True,4.451129555380279e-05,-0.5505943431421311,52.04151868449105,5.4572696839568473e-11,0.002663400356251016,1.5000000023601208e-06,0.5528443956583726,0.47393458312749714,2.067453991754496e-05,1.679721564503634e-05,-0.0058691715141789185,3.18069303381544,,
195Ic,True,2.6198974967778112e-06,-2.020195428404601,161324.59918095832,2.725115415967365e-30,-0.07531237696990507,3.942261092222092e-05,0.657629385091175,0.6378772342310504,1.5889769729491708e-06,1.3558551866396203e-06,9.630429586926304e-11,0.7944884864745875,,
196Ic,True,3.83395586457602e-06,-2.005968183703288,159190.00029752962,8.919736856378133e-17,0.016763072213431315,9.388363341543995e-05,0.913535744446259,0.9085474220104662,8.304479771245358e-07,6.645957943085798e-07,8.86565719736564e-10,0.830447977124535,,
194Ic,True,5.938431363960259e-05,0.423729813030626,84.53121238613586,1.0273053436312344e-21,0.004721744479830426,3.000000013244566e-06,0.7553539461333837,0.7121811130980985,2.5863697700405076e-05,2.0160335620615114e-05,-0.01312203183434781,5.172722896289545,,
198Ic,True,7.550550940740092e-06,1.5475790380850682,82.374064158497,2.6910918520803804e-33,-0.0003128702893903819,8.405500431757875e-06,0.4071219401900774,0.30249640022362045,6.681439081043134e-06,4.961395781505407e-06,-1.0369910263818838e-08,3.8179651891675057,,
197Ic,True,3.3619686045061282e-06,-0.15358745749607228,161411.41004296663,8.696812650122306e-21,-0.025232987536138087,0.00011089750810858273,0.9007838704204243,0.8950598629446795,8.131440905867448e-07,6.804634706575042e-07,-6.889383958214485e-15,0.4065720452933708,,
199Ic,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
201Ic,True,3.753169733986281e-06,0.8487329719921433,156695.79135835436,6.1314042232656296e-15,-0.024550197657501733,4.539446028515386e-05,0.9338134119994679,0.9299949549994372,7.074684181498534e-07,5.619136958343185e-07,9.840562799058306e-11,0.2829873672599415,,
200Ic,True,2.7592217499646273e-05,-1.725926334087156,157833.37262819294,5.996632321647268e-16,0.15092293842264878,1.9699021243262085e-05,0.7152155375717022,0.6951131049297047,1.2444787043219012e-05,9.138798491573071e-06,-5.945244296867713e-14,0.2571236992400622,,
202Ic,True,2.669483187813644e-06,-0.01637214688519478,2496.2761143680423,0.00019282575001023085,0.00012499917628502435,7.062509489024118e-07,0.06077255395764003,-1.8176823381270797,3.2596028106740545e-07,2.5000719495721175e-07,3.4894975010968387e-06,0.32596028104872743,,
203Ic,True,8.282463146341011e-06,3.0506820304014215,81.00118791719407,4.726098198604394e-09,3.4515429174136046e-05,6.289781312420431e-06,0.4562263977290585,0.417385426138277,6.151432262446273e-06,4.336060993451643e-06,2.1224272937449595e-09,6.151432262446274,,
